Timestamp,Event,Severity
2026-08-07 21:06:34,PORT_SCAN:45.33.32.156:22,HIGH
2026-08-07 21:06:35,PORT_SCAN:45.33.32.156:80,HIGH
2026-08-07 23:05:34,PORT_SCAN:8.8.8.8:443,HIGH
2026-08-07 23:49:25,PORT_SCAN:1.1.1.1:80,HIGH
2026-08-07 23:49:25,PORT_SCAN:1.1.1.1:443,HIGH
2026-08-07 23:49:26,PORT_SCAN:1.1.1.1:8080,HIGH
2026-08-08 00:46:02,PORT_SCAN:scanme.nmap.org:22,HIGH
2026-08-08 00:46:03,PORT_SCAN:scanme.nmap.org:80,HIGH
